confs/repo/confs.cisco-ios/conf_0;aaa_config_set.cisco-ios.gawk;<aaa accounting> is not set;0;high;error
confs/repo/confs.cisco-ios/conf_0;aaa_config_set.cisco-ios.gawk;<aaa authentication> is not set;0;high;error
confs/repo/confs.cisco-ios/conf_0;aaa_config_set.cisco-ios.gawk;<aaa authorization> is not set;0;high;error
confs/repo/confs.cisco-ios/conf_0;aaa_config_set.cisco-ios.gawk;aaa new-model;30;high;pass
confs/repo/confs.cisco-ios/conf_0;aaa_config_set.cisco-ios.gawk;<(tacacs|radius) server> is not set;0;high;error
confs/repo/confs.cisco-ios/conf_0;aaa_user_notset.cisco-ios.gawk;username backdoor2 secret 5 xxxx;28;high;error
confs/repo/confs.cisco-ios/conf_0;aaa_user_notset.cisco-ios.gawk;username backdoor secret 5 xxxx;27;high;error
confs/repo/confs.cisco-ios/conf_0;acl_configconsistency_set.cisco-ios.gawk;access-list 97 has no redundant/inconsistent rules;63;info;pass
confs/repo/confs.cisco-ios/conf_0;acl_configconsistency_set.cisco-ios.gawk;access-list 98 has no redundant/inconsistent rules;64;info;pass
confs/repo/confs.cisco-ios/conf_0;acl_configconsistency_set.cisco-ios.gawk; == access-list BLOCK_VIRUS rule_line_59 < deny   77 any any> == action(deny) inoutgress(none) int(none) family(all) src(any/any) src_port(0/0) dst(any/any) dst_port(0/0) protocol(77) == access-list BLOCK_VIRUS rule_line_60 < permit ip any any> == action(permit) inoutgress(none) int(none) family(all) src(any/any) src_port(0/0) dst(any/any) dst_port(0/0) protocol(none) == inconsistent rules;61;info;error
confs/repo/confs.cisco-ios/conf_0;acl_defref_set.cisco-ios.gawk;55 : ref not def : access-class 55 in;0;high;error
confs/repo/confs.cisco-ios/conf_0;acl_defref_set.cisco-ios.gawk;66 : ref not def : access-class 66 in;0;high;error
confs/repo/confs.cisco-ios/conf_0;acl_defref_set.cisco-ios.gawk;97 : def not ref :access-list 97 permit 10.0.168.143;0;info;error
confs/repo/confs.cisco-ios/conf_0;acl_defref_set.cisco-ios.gawk;98 : def not ref :access-list 98 permit 10.0.168.133;0;info;error
confs/repo/confs.cisco-ios/conf_0;acl_defref_set.cisco-ios.gawk;BLOCK_VIRU : ref not def : ip access-group BLOCK_VIRU in;0;high;error
confs/repo/confs.cisco-ios/conf_0;acl_defref_set.cisco-ios.gawk;BLOCK_VIRUS : def not ref :ip access-list extended BLOCK_VIRUS;0;info;error
confs/repo/confs.cisco-ios/conf_0;acl_defref_set.cisco-ios.gawk;cawk_ntp_bad : ref not def :ntp access-group cawk_ntp_bad;0;high;error
confs/repo/confs.cisco-ios/conf_0;CVEyyy_xxx_psirt.cisco-ios.gawk;vulnerable to this psirt {FILE_PATTERN=^.*} {OS_PATTERN=15\..* .* .*} {LINE[1]=hostname / 1} {LINE[2]=line vty / 1} {BLOCK[1]["start"]=^interface  / 1 0 0} {BLOCK[2]["start"]=^router  / 1 0 0};101;high;psirt
confs/repo/confs.cisco-ios/conf_0;global_banner_set.cisco-ios.gawk;<banner login/exec/motd> is not set;0;high;error
confs/repo/confs.cisco-ios/conf_0;global_enablepassword_notset.cisco-ios.gawk;<enable password> is not configured;0;high;pass
confs/repo/confs.cisco-ios/conf_0;global_http_notset.cisco-ios.gawk;ip http server;13;high;error
confs/repo/confs.cisco-ios/conf_0;global_logging_set.cisco-ios.gawk;<logging host> is not configured;0;medium;error
confs/repo/confs.cisco-ios/conf_0;global_nocdprun_set.cisco-ios.gawk;no cdp run;10;high;pass
confs/repo/confs.cisco-ios/conf_0;global_noipbootpserver_set.cisco-ios.gawk;no ip bootp server;7;high;pass
confs/repo/confs.cisco-ios/conf_0;global_noipfinger_set.cisco-ios.gawk;no ip finger;8;high;pass
confs/repo/confs.cisco-ios/conf_0;global_noipsourceroute_set.cisco-ios.gawk;no ip source-route;9;high;pass
confs/repo/confs.cisco-ios/conf_0;global_rcmd_notset.cisco-ios.gawk;ip rcmd cawk;14;high;error
confs/repo/confs.cisco-ios/conf_0;global_servicepassword_set.cisco-ios.gawk;<service password-encryption> is not set;0;high;error
confs/repo/confs.cisco-ios/conf_0;global_timestamps_set.cisco-ios.gawk;service timestamps log datetime msec;4;medium;pass
confs/repo/confs.cisco-ios/conf_0;int_cdpenable_notset.cisco-ios.gawk;interface <cdp enable> is not set;0;high;pass
confs/repo/confs.cisco-ios/conf_0;int_directedbroadcast_notset.cisco-ios.gawk;interface <ip directed-broadcast> is not set;0;high;pass
